Country_City                                                                                          total_rental_sales
----------------------------------------------------------------------------------------------------- ---------------------------------------
Afghanistan,Kabul                                                                                     67.82
Algeria,Batna                                                                                         112.72
Algeria,Bchar                                                                                         96.75
Algeria,Skikda                                                                                        173.63
American Samoa,Tafuna                                                                                 71.80
Angola,Benguela                                                                                       111.75
Angola,Namibe                                                                                         103.73
Anguilla,South Hill                                                                                   106.65
Argentina,Almirante Brown                                                                             101.75
Argentina,Avellaneda                                                                                  132.70
Argentina,Baha Blanca                                                                                 128.72
Argentina,Crdoba                                                                                      95.75
Argentina,Escobar                                                                                     102.74
Argentina,Ezeiza                                                                                      76.77
Argentina,La Plata                                                                                    134.68
Argentina,Merlo                                                                                       126.70
Argentina,Quilmes                                                                                     117.76
Argentina,San Miguel de Tucumn                                                                        82.76
Argentina,Santa F                                                                                     122.73
Argentina,Tandil                                                                                      109.68
Argentina,Vicente Lpez                                                                                101.74
Armenia,Yerevan                                                                                       118.75
Austria,Graz                                                                                          119.71
Austria,Linz                                                                                          68.79
Austria,Salzburg                                                                                      118.72
Azerbaijan,Baku                                                                                       109.73
Azerbaijan,Sumqayit                                                                                   135.70
Bahrain,al-Manama                                                                                     112.75
Bangladesh,Dhaka                                                                                      118.72
Bangladesh,Jamalpur                                                                                   127.68
Bangladesh,Tangail                                                                                    155.65
Belarus,Mogiljov                                                                                      81.76
Belarus,Molodetno                                                                                     195.58
Bolivia,El Alto                                                                                       87.76
Bolivia,Sucre                                                                                         95.77
Brazil,Alvorada                                                                                       96.74
Brazil,Angra dos Reis                                                                                 134.70
Brazil,Anpolis                                                                                        93.75
Brazil,Aparecida de Goinia                                                                            95.77
Brazil,Araatuba                                                                                       100.72
Brazil,Bag                                                                                            78.84
Brazil,Belm                                                                                           145.68
Brazil,Blumenau                                                                                       126.73
Brazil,Boa Vista                                                                                      130.68
Brazil,Braslia                                                                                        91.78
Brazil,Goinia                                                                                         133.72
Brazil,Guaruj                                                                                         114.76
Brazil,guas Lindas de Gois                                                                            93.76
Brazil,Ibirit                                                                                         97.80
Brazil,Juazeiro do Norte                                                                              108.78
Brazil,Juiz de Fora                                                                                   134.73
Brazil,Luzinia                                                                                        76.77
Brazil,Maring                                                                                         107.77
Brazil,Po                                                                                             117.72
Brazil,Poos de Caldas                                                                                 116.68
Brazil,Rio Claro                                                                                      103.73
Brazil,Santa Brbara dOeste                                                                            194.61
Brazil,Santo Andr                                                                                     129.64
Brazil,So Bernardo do Campo                                                                           98.78
Brazil,So Leopoldo                                                                                    98.78
Brazil,Sorocaba                                                                                       131.67
Brazil,Vila Velha                                                                                     141.71
Brazil,Vitria de Santo Anto                                                                           103.72
Brunei,Bandar Seri Begawan                                                                            113.65
Bulgaria,Ruse                                                                                         112.76
Bulgaria,Stara Zagora                                                                                 91.74
Cambodia,Battambang                                                                                   98.74
Cambodia,Phnom Penh                                                                                   92.73
Cameroon,Bamenda                                                                                      99.77
Cameroon,Yaound                                                                                       100.69
Canada,Gatineau                                                                                       95.78
Canada,Halifax                                                                                        91.75
Canada,Oshawa                                                                                         93.78
Canada,Richmond Hill                                                                                  167.62
Canada,Vancouver                                                                                      144.70
