customer_country                                   total_rental_sales                      SalesRank
-------------------------------------------------- --------------------------------------- --------------------
India                                              6628.28                                 1
China                                              5798.74                                 2
United States                                      4110.32                                 3
Japan                                              3470.75                                 4
Mexico                                             3307.04                                 5
Brazil                                             3200.52                                 6
Russian Federation                                 3045.87                                 7
Philippines                                        2381.32                                 8
Turkey                                             1662.12                                 9
Nigeria                                            1511.48                                 10
Indonesia                                          1510.33                                 11
Argentina                                          1434.48                                 12
Taiwan                                             1209.95                                 13
South Africa                                       1204.15                                 14
Iran                                               950.75                                  15
United Kingdom                                     922.81                                  16
Poland                                             877.97                                  17
Italy                                              831.11                                  18
Germany                                            831.04                                  19
Vietnam                                            746.28                                  20
Ukraine                                            730.42                                  21
Colombia                                           709.41                                  22
Egypt                                              694.39                                  23
Venezuela                                          683.30                                  24
Spain                                              606.58                                  25
Canada                                             593.63                                  26
Netherlands                                        586.66                                  27
South Korea                                        574.65                                  28
Pakistan                                           525.72                                  29
Saudi Arabia                                       523.79                                  30
Yemen                                              510.83                                  31
Peru                                               468.88                                  32
Israel                                             422.01                                  33
Thailand                                           419.04                                  34
Bangladesh                                         402.05                                  35
Ecuador                                            390.13                                  36
Algeria                                            383.10                                  37
France                                             374.04                                  38
Malaysia                                           369.15                                  39
Mozambique                                         344.20                                  40
Tanzania                                           341.17                                  41
United Arab Emirates                               333.16                                  42
Chile                                              328.29                                  43
Dominican Republic                                 318.23                                  44
Morocco                                            307.29                                  45
Austria                                            307.22                                  46
Belarus                                            277.34                                  47
Paraguay                                           275.38                                  48
Latvia                                             262.40                                  49
Yugoslavia                                         259.43                                  50
Puerto Rico                                        254.39                                  51
Kenya                                              253.46                                  52
Switzerland                                        252.39                                  53
Azerbaijan                                         245.43                                  54
French Polynesia                                   235.46                                  55
Romania                                            235.38                                  56
Greece                                             232.46                                  57
Sudan                                              227.46                                  58
Runion                                             216.54                                  59
Angola                                             215.48                                  60
Congo, The Democratic Republic of the              212.50                                  61
Bulgaria                                           204.50                                  62
Cameroon                                           200.46                                  63
Kazakstan                                          198.48                                  64
Myanmar                                            194.48                                  65
Cambodia                                           191.47                                  66
Oman                                               187.50                                  67
Bolivia                                            183.53                                  68
Holy See (Vatican City State)                      152.66                                  69
Nauru                                              148.69                                  70
Sweden                                             144.66                                  71
Hong Kong                                          142.70                                  72
Greenland                                          137.66                                  73
Turkmenistan                                       136.73                                  74
Chad                                               135.68                                  75
Zambia                                             134.67                                  76
Czech Republic                                     133.71                                  77
Gambia                                             129.70                                  78
Moldova                                            127.66                                  79
